;id;label;community
575;576;MOLINA, B.;84.0
576;577;TERUEL, J.A.;6.0
577;578;GONZABAY, W.O.;25.0
578;579;J., ORTIZ;5.0
579;580;GARCIA, J.;0.0
580;581;PASTUIZACA FERNANDEZ, M.N.;11.0
581;582;MARTINEZ VERA, C.R.;7.0
582;583;LIVINGSTON, C.V.;51.0
583;584;MIGUEL ESCUDERO, R.;20.0
584;585;S.;1.0
585;586;MENDOZA JIMENEZ, M.;10.0
586;587;FRAPPART, F.;8.0
587;588;T.;43.0
588;589;MOREIRA, D.;5.0
589;590;U.;1.0
590;591;UZCATEGUI SANCHEZ, C.;57.0
591;592;BOZA, E.F.;0.0
592;593;LIAO, W.;2.0
593;594;PARRAGA, C.;17.0
594;595;PAZMINO, A.;32.0
595;596;VEGA, MA.F.C.;48.0
596;597;LIU, Y.;6.0
597;598;ARANDA, F.J.;6.0
598;599;LOCK, K.;2.0
599;600;R.F.;21.0
600;601;L.J.;41.0
601;602;BONILLA, R.I.;78.0
602;603;J.A., ORTIZ;6.0
603;604;YIN, Y.;15.0
604;605;(...), DONA RODRIGEZ;0.0
605;606;(...), VINTIMILLA;8.0
606;607;BARRAGAN, A.;2.0
607;608;E., MONTALVO;18.0
608;609;AVENDANO, A.;0.0
609;610;DALFO, E.;17.0
610;611;CARRILLO, G.;0.0
611;612;CACERES, P.J.;30.0
612;613;(...), LASSO;4.0
613;614;P.L.M., THAS;2.0
614;615;MAYA, R.;0.0
615;616;JUAN, P.;54.0
616;617;SIEGMUND, S.;6.0
617;618;KIM, T. S;4.0
618;619;GARCIA, S.;0.0
619;620;SALAZAR, C.A.;4.0
620;621;BACHERE, E.;0.0
621;622;CABEZAS, M.V.;109.0
622;623;ROMERO ALVAREZ, D.;40.0
623;624;C.E.L.;3.0
624;625;BUYYA, R.;34.0
625;626;(...), ALVAREZ;32.0
626;627;QUIJANO AVILES, M.;2.0
627;628;M., RIEBESELL;1.0
628;629;(...), SHAND;0.0
629;630;D., SORGELOOS;2.0
630;631;LUZARDO, G.;0.0
631;632;FALCONES, G.;0.0
632;633;AZOCAR, L.;27.0
633;634;N., ABASOLO PACHECO;1.0
634;635;DOMINGUEZ GRANDA, L.;10.0
635;636;VANDENHESTE, S.;74.0
636;637;MANDOW, A.;16.0
637;638;JOJOA, P.;14.0
638;639;HE, Z.L.;18.0
639;640;EPPRECHT, E.K.;45.0
640;641;DOUGLAS, A.;67.0
641;642;PONGUILLO, R.A.;7.0
642;643;GRIFFIN, K.;53.0
643;644;M., RODRIGUEZ;0.0
644;645;RODRIGUEZ ESPARRAGON, D.;29.0
645;646;WINTER, J.M.;2.0
646;647;(...), WU;5.0
647;648;MARIA BERMUDEZ MARTINEZ, R.;42.0
648;649;ARNHOLDT SCHMITT, B.;31.0
649;650;SOSA, D.;4.0
650;651;BENAVIDES, M.;72.0
651;652;ZAPATA VIVENES, E.;4.0
652;653;PHILIPS, W.;0.0
653;654;FRANCO, G.H.;0.0
654;655;PAUL, A.J.;1.0
655;656;VASQUEZ, M.;6.0
656;657;B., BALIGAR;18.0
657;658;DELGADO GUERRERO, J.S.;87.0
658;659;ABREU PAYROL, J.;3.0
659;660;M., PERALTA;3.0
660;661;D;0.0
661;662;CAJO, R.;1.0
662;663;LIMA, B.;1.0
663;664;SCHULZ, K.G.;1.0
664;665;MURESAN, C.I.;1.0
665;666;SIGUENZA, D.;5.0
666;667;A.N., HIMMELMAN;1.0
667;668;FIALLOS, C.;0.0
668;669;VARGAS, G.;2.0
669;670;MANTILLA, E.E.;93.0
670;671;FERNANDEZ SILVA, I.;28.0
671;672;SANZOGNI, L.;81.0
672;673;(...), ITURRALDE;0.0
673;674;ORTIZ, J.;14.0
674;675;E., GOETHALS;10.0
675;676;WIERCIGROCH, M.;6.0
676;677;EGUEZ ALAVA, H.;59.0
677;678;T.H.T., GOETHALS;2.0
678;679;X., WORSLEY;0.0
